 TITLE = SWE Solver Water Surface Elevation
 VARIABLES = "X", "Y", "Z", "Zsurf","H", "U", "V", "Umag","deltaZ","Sox","Soy"
 ZONE, DATAPACKING=POINT, N=        5094,E=        9890 ,ZONETYPE=FETRIANGLE
  0.000000000000000E+000  0.000000000000000E+000  6.943971932482010E-012
  0.999994165432312       0.999994165413174       1.342944896634234E-004
  3.698229035057346E-005  1.392935739850675E-004  0.000000000000000E+000
 -8.057458694434462E-010 -7.995334524179438E-010
   2.00000000000000       0.000000000000000E+000  2.583210316418931E-055
   1.00000000000000        1.00000000000000       5.053704247357850E-015
 -8.983167225825590E-016  5.132923100323465E-015  0.000000000000000E+000
  2.825536811104108E-052 -7.315559454562297E-053
   2.00000000000000        1.00000000000000       2.583210316418931E-055
   1.00000000000000        1.00000000000000       1.958982741695929E-015
  8.978186298884835E-018  1.959003315487678E-015  0.000000000000000E+000
  2.805385217773316E-052  5.413606486378659E-053
  0.000000000000000E+000   1.00000000000000       6.943971932482010E-012
  0.999912666823796       0.999912666804002       8.913682300298177E-005
 -4.921837369035616E-006  8.927260328987911E-005  0.000000000000000E+000
 -8.111350490949511E-010  8.592374029471234E-010
  2.020202020198573E-002  0.000000000000000E+000  1.868215638777297E-011
  0.999998499324211       0.999998499285324       6.164631643746874E-005
  8.289760071656945E-007  6.165188992665988E-005  0.000000000000000E+000
 -1.600180624725188E-009 -1.801784635631632E-009
  4.040404040397146E-002  0.000000000000000E+000  4.825269260528824E-011
   1.00000461998605        1.00000461988697       1.596857570938810E-005
 -1.727547409972946E-005  2.352525059498587E-005  0.000000000000000E+000
 -3.776885234491562E-009 -4.535550975963073E-009
  6.060606060595718E-002  0.000000000000000E+000  1.196441878078136E-010
   1.00001363687334        1.00001363665561      -4.466429677675367E-006
 -2.043428041421634E-005  2.091671126426056E-005  0.000000000000000E+000
 -8.110188413371613E-009 -9.837487369606988E-009
  8.080808080794291E-002  0.000000000000000E+000  2.847981488159201E-010
   1.00002440894469        1.00002440842180      -2.246595601867199E-005
 -2.706016746124991E-005  3.517061049887807E-005  0.000000000000000E+000
 -1.865684055508355E-008 -2.418333048300268E-008
  0.101010101009929       0.000000000000000E+000  6.508160002567887E-010
   1.00003473308991        1.00003473192087      -3.759082325023796E-005
 -2.651159757108192E-005  4.599929128151462E-005  0.000000000000000E+000
 -3.903383879419725E-008 -5.393497790088716E-008
  0.121212121211914       0.000000000000000E+000  1.427758597914628E-009
   1.00004157689611        1.00004157437542      -3.757816227300514E-005
 -2.224987628533302E-005  4.367121791900165E-005  0.000000000000000E+000
 -8.299182197749976E-008 -1.190457343580514E-007
  0.141414141413900       0.000000000000000E+000  3.006954454769968E-009
   1.00004126739087        1.00004126199776      -1.596283023982729E-005
 -1.819742447974471E-005  2.420657363117623E-005  0.000000000000000E+000
 -1.674774520597417E-007 -2.555905437404188E-007
  0.161616161615886       0.000000000000000E+000  6.079591780799658E-009
   1.00003187851158        1.00003186683321       2.543124346621313E-005
 -2.974323678095822E-005  3.913321196178450E-005  0.000000000000000E+000
 -3.469226466993952E-007 -5.532145749306232E-007
  0.181818181817872       0.000000000000000E+000  1.180042072270114E-008
   1.00002084473171        1.00002082442103       6.843036429608942E-005
 -2.737061129606928E-005  7.370118805294814E-005  0.000000000000000E+000
 -5.095005969643813E-007 -9.547439272666739E-007
  0.202020202019857       0.000000000000000E+000  2.198852345637848E-008
   1.00001925267177        1.00001921327588       7.124977653614320E-005
 -2.995486755707218E-005  7.729052171393384E-005  0.000000000000000E+000
 -1.086958843334187E-006 -1.902700430610527E-006
  0.222222222221843       0.000000000000000E+000  3.933418409186775E-008
   1.00003453491508        1.00003446777449       1.859260867329430E-005
 -3.920781898663572E-005  4.339283543359492E-005  0.000000000000000E+000
 -1.462680568669846E-006 -3.181258837719047E-006
  0.242424242423829       0.000000000000000E+000  6.754912505978775E-008
   1.00005233729201        1.00005222753726      -4.065128806707947E-005
 -2.883535471098602E-005  4.983979236334218E-005  0.000000000000000E+000
 -2.637933620698274E-006 -5.297919782004043E-006
  0.262626262625815       0.000000000000000E+000  1.113639979014321E-007
   1.00005202213630        1.00005183399758      -6.736279117244319E-005
 -2.289521168285236E-005  7.114728633296430E-005  0.000000000000000E+000
 -3.897265037067717E-006 -9.048932970220572E-006
  0.282828282827800       0.000000000000000E+000  1.762566055715759E-007
   1.00003438477065        1.00003407374937      -4.201622185704613E-005
 -2.696707063102063E-005  4.992580292352820E-005  0.000000000000000E+000
 -6.303456398350826E-006 -1.492613707200543E-005
  0.303030303029786       0.000000000000000E+000  2.678067344251630E-007
   1.00001589949602        1.00001541876995      -1.061309184207373E-005
 -2.155470198230899E-005  2.402587971322688E-005  0.000000000000000E+000
 -8.017141584491791E-006 -2.302156213900800E-005
  0.323232323231772       0.000000000000000E+000  3.906367417366075E-007
   1.00000678772074        1.00000609247512      -2.114364888345467E-005
 -2.751985793512196E-005  3.470441569708542E-005  0.000000000000000E+000
 -1.089086119512553E-005 -3.331642166079641E-005
  0.343434343433757       0.000000000000000E+000  5.470161986403088E-007
   1.00000518933864        1.00000427266965      -5.849400911107091E-005
 -2.200802343684778E-005  6.249721751792545E-005  0.000000000000000E+000
 -1.137991353414291E-005 -4.391863130558635E-005
  0.363636363635743       0.000000000000000E+000  7.353647173803906E-007
  0.999994567566579       0.999993399400550      -3.143843292264986E-005
  4.892279624829137E-006  3.181681103692627E-005  0.000000000000000E+000
 -1.430011500635300E-005 -5.654109254887989E-005
  0.383838383837729       0.000000000000000E+000  9.490320808276734E-007
